font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
MONOTXT,MONOTXT,188,0.400000,1,0.000000,28,28,50,49,20,20,1,1,1,1,1,1,1,1,2,116,118,1,1,1,1,1,1,1,1,135,1,1,1,1,1,1,1,1,140,247,51,1,1,1,1,1,1,1,141,195,1,1,1,1,1,1,1,41,29,167,1,1,1,1,1,1,1,148,188,1,1,1,1,1,1,1,1,1,9,160,1,1,1,1,1,1,111,91,1,1,1,1,1,1,1,1,1,1,168,1,1,1,1,1,1,115,54,1,1,1,1,1,1,1,1,1,1,1,168,1,1,1,1,1,118,51,1,1,1,1,1,1,1,1,1,1,1,101,135,1,1,1,1,121,47,1,1,1,1,1,1,1,1,1,1,1,1,195,41,1,1,1,125,44,1,1,1,1,1,1,1,1,1,1,1,1,16,220,1,1,1,128,41,1,1,1,1,1,1,1,1,1,1,1,1,1,83,86,1,1,131,37,1,1,1,68,1,1,1,1,1,1,1,1,17,165,165,165,96,133,34,1,1,11,250,42,1,1,1,1,1,1,1,1,1,1,1,1,136,32,1,1,1,145,217,9,1,1,1,1,1,1,1,1,1,1,6,136,27,1,1,14,145,61,185,1,1,1,1,1,1,1,1,1,1,1,140,29,1,1,1,148,21,165,71,1,1,1,1,1,1,1,1,1,9,140,21,1,1,84,249,4,1,235,1,1,1,1,1,1,1,1,1,1,143,26,1,1,71,115,17,1,58,178,1,1,1,1,1,1,1,1,12,143,14,1,1,74,232,165,165,165,255,175,47,1,1,1,1,1,1,1,146,22,1,1,1,34,1,1,1,1,168,1,1,1,1,1,1,1,16,146,7,1,1,1,1,1,1,1,1,68,101,1,1,1,1,1,1,1,150,19,1,1,1,1,1,1,1,1,1,148,21,1,1,1,1,1,1,1
MONOTXT,MONOTXT,187,0.400000,1,0.000000,37,31,33,38,20,20,1,1,1,1,1,71,175,1,1,1,1,1,1,42,203,1,1,1,1,1,1,1,1,1,1,15,208,23,1,1,1,1,1,23,228,101,1,1,1,1,1,1,1,1,1,1,127,224,1,1,1,1,1,1,38,213,1,1,1,1,1,1,1,1,1,1,2,192,52,1,1,1,1,1,1,180,166,1,1,1,1,1,1,1,1,1,1,73,146,1,1,1,1,1,1,18,209,19,1,1,1,1,1,1,1,1,1,1,185,87,1,1,1,1,1,1,133,219,1,1,1,1,1,1,1,1,1,1,23,164,1,1,1,1,1,1,4,195,47,1,1,1,1,1,1,1,1,1,1,155,128,1,1,1,1,1,1,79,145,1,1,1,1,1,1,1,1,1,1,1,167,10,1,1,1,1,1,1,185,82,1,1,1,1,1,1,1,1,1,1,110,172,1,1,1,1,1,1,29,164,1,1,1,1,1,1,1,1,1,16,112,64,1,1,1,1,1,1,27,255,1,1,1,1,1,1,1,1,9,167,91,1,1,1,1,1,1,103,159,1,1,1,1,1,1,1,1,58,147,20,1,1,1,1,1,1,80,100,18,1,1,1,1,1,1,1,43,145,47,1,1,1,1,1,6,155,123,1,1,1,1,1,1,1,1,112,144,1,1,1,1,1,1,1,128,48,1,1,1,1,1,1,1,1,96,91,16,1,1,1,1,1,30,183,70,1,1,1,1,1,1,1,4,172,107,1,1,1,1,1,1,10,152,20,1,1,1,1,1,1,1,60,160,31,1,1,1,1,1,1,67,190,21,1,1,1,1,1,1,1,34,221,60,1,1,1,1,1,4,71,135,4,1,1,1,1,1,1,1,1,169,7,1,1,1,1,1,1,114,132,1,1,1,1,1,1,1,1,1,1
MONOTXT,MONOTXT,186,0.400000,1,0.000000,29,36,25,24,20,20,1,1,1,1,1,1,1,1,1,50,236,236,236,236,236,236,236,148,20,1,1,1,1,1,1,1,1,59,118,167,1,1,1,1,1,1,1,148,177,20,1,1,1,1,1,1,59,148,118,20,1,1,1,1,1,1,1,59,236,50,1,1,1,1,1,40,177,30,1,1,1,1,1,1,1,1,1,1,40,206,1,1,1,1,1,89,157,1,1,1,1,1,1,1,1,1,1,1,40,206,1,1,1,1,1,246,1,1,1,1,1,1,1,1,1,1,1,1,197,50,1,1,1,1,148,246,1,1,1,1,1,1,1,1,1,1,1,1,197,50,1,1,1,1,246,50,1,1,1,1,1,1,1,1,1,1,1,118,118,10,1,1,1,40,255,1,1,1,1,1,1,1,1,1,1,1,1,148,99,1,1,1,1,197,197,1,1,1,1,1,1,1,1,1,1,1,40,148,59,1,1,1,1,197,197,1,1,1,1,1,1,1,1,1,1,30,157,59,1,1,1,1,1,40,255,197,1,1,1,1,1,1,1,1,197,206,40,1,1,1,1,1,1,1,1,255,59,59,59,59,59,59,59,177,236,1,1,1,1,1,1,1,1,1,1,177,177,177,177,177,177,177,177,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,236,236,236,236,236,236,236,236,236,236,236,236,236,236,40,1,1,1,1,1
MONOTXT,MONOTXT,185,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,184,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,183,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,182,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,181,0.400000,1,0.000000,46,22,48,50,20,20,1,1,1,1,1,1,1,1,1,163,58,1,1,1,1,1,1,1,1,140,1,1,1,1,1,1,1,1,24,255,1,1,1,1,1,1,1,1,24,116,1,1,1,1,1,1,1,1,140,140,1,1,1,1,1,1,1,1,76,64,1,1,1,1,1,1,1,1,227,53,1,1,1,1,1,1,1,1,140,1,1,1,1,1,1,1,1,116,163,1,1,1,1,1,1,1,1,1,140,1,1,1,1,1,1,1,12,128,140,1,1,1,1,1,1,1,1,140,58,1,1,1,1,1,1,1,93,151,35,1,1,1,1,1,1,1,1,198,1,1,1,1,1,1,1,1,140,140,1,1,1,1,1,1,1,1,134,192,1,1,1,1,1,1,1,93,64,122,1,1,1,1,1,1,1,93,209,70,1,1,1,1,1,1,1,140,70,70,1,1,1,1,1,1,29,111,151,12,1,1,1,1,1,1,82,58,29,111,1,1,1,1,1,24,116,1,198,1,1,1,1,1,1,1,140,1,1,93,47,1,1,1,1,140,1,105,35,1,1,1,1,1,1,70,70,1,1,1,134,29,29,29,99,41,1,140,1,1,1,1,1,1,1,140,1,1,1,1,24,116,116,116,47,1,1,47,1,1,1,1,1,1,58,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,186,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MONOTXT,MONOTXT,180,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,179,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,178,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
MONOTXT,MONOTXT,177,0.400000,1,0.000000,30,31,40,41,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,135,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,164,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,126,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,159,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,193,1,1,1,1,1,1,1,1,1,1,20,198,198,198,198,198,198,198,255,236,198,198,198,198,198,198,198,1,1,1,1,1,1,1,1,1,1,1,251,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,246,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,121,1,1,1,1
MONOTXT,MONOTXT,176,0.400000,1,0.000000,29,41,18,18,20,20,1,1,1,1,1,1,1,1,1,1,1,1,199,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,202,249,237,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,199,73,57,189,224,111,1,1,1,1,1,1,1,1,1,1,1,38,171,171,86,10,1,57,180,142,1,1,1,1,1,1,1,1,1,1,48,136,114,114,1,1,1,1,142,205,95,1,1,1,1,1,1,1,1,51,123,111,1,1,1,1,1,1,79,193,171,1,1,1,1,1,1,57,86,123,114,1,1,1,1,1,1,1,1,76,142,67,1,1,1,1,45,152,199,111,1,1,1,1,1,1,1,1,1,1,86,211,51,1,1,26,183,76,1,1,1,1,1,1,1,1,1,1,1,1,76,233,227,1,1,227,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,227,1,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,86,255,255,255,29,230,233,76,1,1,1,1,1,1,1,1,1,1,1,101,237,205,29,29,1,51,211,86,1,1,1,1,1,1,1,1,1,1,111,136,57,45,1,1,1,1,199,199,76,1,1,1,1,1,1,1,133,171,123,48,1,1,1,1,1,1,89,208,193,79,1,1,1,1,1,126,230,161,51,1,1,1,1,1,1,1,1,95,205,142,1,1,1,1,114,139,142,48,1,1,1,1,1,1,1,1,1,1,142,180,57,19,86,86,171,19,1,1,1,1,1,1,1,1,1,1,1,1,111,224,189,101,249,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,114,246,227,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,114,171,1,1,1,1,1,1,1,1,1,1,1,1,1
MONOTXT,MONOTXT,175,0.400000,1,0.000000,29,24,49,42,20,20,1,1,1,1,1,1,1,98,255,255,255,255,255,255,255,255,255,255,255,184,1,1,1,1,1,1,1,192,255,166,162,162,162,162,162,162,162,242,255,40,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,47,239,195,6,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,1,125,255,107,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,8,212,246,22,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,73,255,158,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,1,180,255,52,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,40,234,200,13,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,1,113,255,118,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,10,198,241,39,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,49,255,183,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,1,168,255,64,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,28,235,210,15,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,1,101,255,130,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,8,188,241,51,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,35,255,197,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,1,146,255,86,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,11,240,224,13,1,1,1,1,1,1,89,255,242,162,162,162,162,162,162,162,166,255,142,1,1,1,1,1,1,1,184,255,255,255,255,255,255,255,255,255,255,246,58,1,1,1,1,1,1,1
